60001, Wesola, 62, flat, between 2011-2020, 194, SilverStone Constructions, 8, 1, 34
60054, Mickiewicza, 63, twin, between 1951-1980, 51, SilverStone Constructions, 3, 3, 7
60055, Mickiewicza, 34, twin, between 1981-2000, 132, GreenField Group, 3, 1, 15
60056, Topolowa, 46, flat, between 1951-1980, 54, GoldenGate Builders, 7, 5, 198
60057, Kwiatowa, 81, apartment, between 2001-2010, 177, BlueSky Developers, 3, 1, 219
60058, Kwiatowa, 71, flat, between 1900-1950, 46, GreenField Group, 2, 1, 50
60059, Kwiatowa, 84, apartment, between 2021-2024, 162, GoldenGate Builders, 2, 2, 198
60060, Lesna, 55, flat, between 1981-2000, 127, GoldenGate Builders, 9, 5, 153
60061, Piastowska, 63, apartment, between 1981-2000, 21, BlueSky Developers, 1, 1, 212
60062, Kwiatowa, 77, house, between 2001-2010, 45, GreenField Group, 4, 3, 180
60063, Sosnowa, 28, apartment, between 1981-2000, 97, BlueSky Developers, 9, 1, 8
60064, Parkowa, 89, flat, between 2001-2010, 87, GreenField Group, 3, 3, 22
60065, Reymonta, 58, flat, between 2011-2020, 134, GreenField Group, 5, 2, 287
60066, Konopna, 22, flat, between 1951-1980, 191, SilverStone Constructions, 9, 7, 115
60067, Sienkiewicza, 56, twin, between 2021-2024, 125, BlueSky Developers, 3, 3, 121
60068, Akacjowa, 35, apartment, between 1951-1980, 5, BlueSky Developers, 8, 5, 125
60069, Polna, 37, apartment, between 1900-1950, 154, BlueSky Developers, 5, 4, 297
60070, Kwiatowa, 22, twin, between 2021-2024, 69, BlueSky Developers, 3, 3, 227
60071, Mickiewicza, 43, twin, between 1981-2000, 129, BlueSky Developers, 2, 2, 111
60072, Mickiewicza, 83, house, between 1951-1980, 155, BlueSky Developers, 5, 4, 172
60073, Zielona, 25, twin, between 2001-2010, 52, GreenField Group, 2, 1, 217
60074, Sloneczna, 41, twin, between 1951-1980, 24, GreenField Group, 1, 1, 137
60075, Piastowska, 23, twin, between 2011-2020, 150, SilverStone Constructions, 2, 2, 144
60076, Lesna, 96, house, between 1900-1950, 7, GoldenGate Builders, 4, 3, 187
60077, Polna, 72, flat, between 1951-1980, 110, BlueSky Developers, 7, 3, 105
60078, Sienkiewicza, 62, twin, between 2001-2010, 182, BlueSky Developers, 2, 2, 235
60079, Kwiatowa, 95, flat, between 1900-1950, 1, BlueSky Developers, 3, 1, 73
60080, Lesna, 96, apartment, between 2021-2024, 101, GoldenGate Builders, 1, 1, 32
60081, Zielona, 98, apartment, between 2011-2020, 24, BlueSky Developers, 5, 5, 87
60082, Sportowa, 39, flat, between 1981-2000, 16, GoldenGate Builders, 9, 4, 161
60083, Sosnowa, 76, twin, between 1900-1950, 95, GreenField Group, 2, 2, 156
60084, Spacerowa, 88, twin, between 1900-1950, 111, SilverStone Constructions, 2, 2, 185
60085, Mickiewicza, 76, house, between 1900-1950, 186, SilverStone Constructions, 2, 1, 129
60086, Konopna, 73, house, between 2001-2010, 49, BlueSky Developers, 7, 5, 50
60087, Krotka, 66, apartment, between 2011-2020, 121, GreenField Group, 9, 3, 141
60088, Piastowska, 82, twin, between 1981-2000, 58, SilverStone Constructions, 2, 2, 150
60089, Parkowa, 37, flat, between 1951-1980, 180, BlueSky Developers, 7, 7, 58
60090, Chopina, 73, flat, between 2021-2024, 187, GreenField Group, 3, 1, 189
60091, Slowackiego, 22, twin, between 1981-2000, 175, BlueSky Developers, 3, 1, 207
60092, Piastowska, 36, twin, between 1951-1980, 16, BlueSky Developers, 1, 1, 63
60093, Mickiewicza, 85, twin, between 1900-1950, 59, BlueSky Developers, 1, 1, 204
60094, Koscielna, 64, twin, between 1900-1950, 83, SilverStone Constructions, 3, 1, 282
60095, Slowackiego, 69, apartment, between 2021-2024, 162, SilverStone Constructions, 1, 1, 265
60096, Piekna, 65, twin, between 1951-1980, 180, BlueSky Developers, 2, 2, 226
60097, Lesna, 42, flat, between 1981-2000, 153, GreenField Group, 2, 1, 54
60098, Reymonta, 61, house, between 2021-2024, 186, GreenField Group, 6, 6, 291
60099, Lesna, 79, house, between 1951-1980, 104, GreenField Group, 6, 3, 36
60100, Sosnowa, 69, flat, between 1951-1980, 152, GoldenGate Builders, 1, 1, 3
60101, Ogrodowa, 93, house, between 2011-2020, 40, BlueSky Developers, 9, 9, 296
60102, Parkowa, 23, house, between 1981-2000, 115, BlueSky Developers, 2, 1, 71
60103, Slowackiego, 88, twin, between 1900-1950, 135, SilverStone Constructions, 2, 2, 127
60104, Mickiewicza, 74, twin, between 1900-1950, 93, BlueSky Developers, 2, 1, 248
60105, Spacerowa, 32, flat, between 1981-2000, 46, BlueSky Developers, 2, 2, 204
60106, Wspolna, 31, flat, between 2001-2010, 77, SilverStone Constructions, 8, 2, 252
60107, Spacerowa, 97, flat, between 2011-2020, 19, BlueSky Developers, 8, 6, 159
60108, Mickiewicza, 90, flat, between 1900-1950, 193, GoldenGate Builders, 3, 1, 206
60109, Kwiatowa, 56, twin, between 2001-2010, 6, GoldenGate Builders, 2, 2, 277
60110, Mickiewicza, 37, twin, between 1951-1980, 130, GoldenGate Builders, 3, 1, 254
60111, Brzozowa, 26, house, between 1900-1950, 88, GoldenGate Builders, 6, 4, 34
60112, Mickiewicza, 40, apartment, between 1951-1980, 92, SilverStone Constructions, 9, 9, 210
60113, Wiosenna, 75, house, between 2011-2020, 150, GoldenGate Builders, 6, 6, 178
60114, Zielona, 45, house, between 2001-2010, 127, SilverStone Constructions, 2, 2, 163
60115, Zielona, 68, apartment, between 1981-2000, 159, SilverStone Constructions, 9, 5, 131
60116, Krotka, 96, twin, between 1981-2000, 51, BlueSky Developers, 3, 3, 224
60117, Slowackiego, 62, apartment, between 2011-2020, 29, GoldenGate Builders, 2, 2, 46
60118, Mickiewicza, 93, flat, between 2021-2024, 175, GoldenGate Builders, 2, 2, 177
60119, Mickiewicza, 90, house, between 1951-1980, 196, GreenField Group, 7, 2, 47
60120, Mickiewicza, 97, flat, between 2001-2010, 173, BlueSky Developers, 9, 1, 141
60121, Sloneczna, 24, flat, between 2011-2020, 116, SilverStone Constructions, 7, 7, 15
60122, Sloneczna, 79, twin, between 1981-2000, 107, SilverStone Constructions, 2, 2, 147
60123, Mickiewicza, 76, apartment, between 1951-1980, 141, SilverStone Constructions, 5, 1, 147
60124, Rzeczna, 62, apartment, between 1981-2000, 107, GreenField Group, 10, 8, 6
60125, Slowackiego, 36, twin, between 2001-2010, 20, BlueSky Developers, 2, 1, 140
60126, Aleja Lipowa, 33, house, between 2001-2010, 85, BlueSky Developers, 9, 3, 123
60127, Reymonta, 88, twin, between 2011-2020, 150, SilverStone Constructions, 3, 3, 121
60128, Mickiewicza, 90, flat, between 1981-2000, 36, GreenField Group, 1, 1, 166
60129, Koscielna, 75, twin, between 1900-1950, 114, GreenField Group, 2, 2, 240
60130, Kwiatowa, 89, house, between 1981-2000, 32, GoldenGate Builders, 1, 1, 218
60131, Lesna, 47, house, between 1900-1950, 111, GreenField Group, 10, 1, 13
60132, Reymonta, 49, apartment, between 1900-1950, 144, GreenField Group, 6, 2, 142
60133, Kwiatowa, 67, house, between 2001-2010, 114, SilverStone Constructions, 10, 10, 53
60134, Parkowa, 24, house, between 2011-2020, 86, SilverStone Constructions, 4, 1, 186
60135, Krotka, 66, twin, between 2011-2020, 171, BlueSky Developers, 3, 2, 242
60136, Wiosenna, 79, apartment, between 2021-2024, 157, SilverStone Constructions, 10, 1, 61
60137, Piastowska, 83, twin, between 2021-2024, 163, SilverStone Constructions, 3, 1, 103
60138, Wiosenna, 23, twin, between 1981-2000, 65, BlueSky Developers, 3, 1, 246
60139, Sosnowa, 88, flat, between 2021-2024, 198, GoldenGate Builders, 6, 4, 189
60140, Parkowa, 57, house, between 2001-2010, 189, GreenField Group, 6, 2, 239
60141, Wiosenna, 30, house, between 2021-2024, 134, SilverStone Constructions, 1, 1, 257
60142, Wspolna, 31, flat, between 1981-2000, 116, SilverStone Constructions, 3, 3, 8
60143, Mickiewicza, 43, house, between 2021-2024, 193, BlueSky Developers, 4, 4, 238
60144, Konopna, 60, flat, between 2011-2020, 168, GreenField Group, 10, 10, 19
60145, Rzeczna, 48, house, between 1900-1950, 95, SilverStone Constructions, 10, 2, 42
60146, Wiosenna, 91, house, between 2021-2024, 184, SilverStone Constructions, 6, 3, 199
60147, Kwiatowa, 47, flat, between 2001-2010, 163, SilverStone Constructions, 5, 4, 28
60148, Wiosenna, 39, flat, between 1900-1950, 63, GreenField Group, 2, 2, 213
60149, Mickiewicza, 84, flat, between 1951-1980, 86, BlueSky Developers, 9, 8, 118
60150, Piekna, 79, house, between 1951-1980, 52, GreenField Group, 9, 7, 232
60151, Kwiatowa, 29, twin, between 1900-1950, 101, SilverStone Constructions, 3, 2, 82
60152, Akacjowa, 87, apartment, between 1951-1980, 65, GreenField Group, 10, 8, 63
60153, 3 Maja, 99, house, between 2001-2010, 4, GreenField Group, 7, 3, 56
60154, Kwiatowa, 52, apartment, between 2021-2024, 84, BlueSky Developers, 2, 1, 53
60155, Sosnowa, 95, house, between 2011-2020, 68, GoldenGate Builders, 1, 1, 292
60156, Slowackiego, 48, flat, between 1951-1980, 16, BlueSky Developers, 7, 5, 122
60157, Reymonta, 28, house, between 2011-2020, 153, BlueSky Developers, 4, 4, 117
60158, Rzeczna, 78, apartment, between 2001-2010, 2, GoldenGate Builders, 10, 10, 85
60159, Kwiatowa, 27, apartment, between 2001-2010, 192, GreenField Group, 2, 1, 145
60160, lakowa, 80, house, between 2021-2024, 48, GoldenGate Builders, 9, 4, 70
60161, Aleja Lipowa, 93, flat, between 1900-1950, 145, SilverStone Constructions, 9, 4, 156
60162, Wiosenna, 80, flat, between 2001-2010, 1, GoldenGate Builders, 2, 2, 275
60163, Parkowa, 36, twin, between 1900-1950, 41, SilverStone Constructions, 1, 1, 135
60164, Wiosenna, 92, house, between 2021-2024, 134, SilverStone Constructions, 6, 6, 227
60165, Mickiewicza, 30, flat, between 2021-2024, 83, GreenField Group, 10, 7, 70
60166, Kwiatowa, 37, twin, between 1981-2000, 134, GreenField Group, 2, 1, 52
60167, Rzeczna, 98, house, between 1981-2000, 197, GoldenGate Builders, 3, 1, 28
60168, Mickiewicza, 94, flat, between 1900-1950, 35, GoldenGate Builders, 8, 3, 164
60169, Wiosenna, 22, house, between 2011-2020, 72, BlueSky Developers, 4, 3, 44
60170, Brzozowa, 28, apartment, between 1951-1980, 143, BlueSky Developers, 8, 2, 176
60171, Piekna, 72, flat, between 1900-1950, 200, BlueSky Developers, 2, 1, 255
60172, Brzozowa, 34, flat, between 2001-2010, 135, SilverStone Constructions, 1, 1, 12
60173, Lesna, 70, twin, between 1981-2000, 78, SilverStone Constructions, 2, 1, 257
60174, Kwiatowa, 73, house, between 1951-1980, 45, GoldenGate Builders, 3, 2, 11
60175, Piastowska, 58, apartment, between 2001-2010, 115, GoldenGate Builders, 9, 5, 252
60176, Polna, 69, apartment, between 1981-2000, 15, GreenField Group, 9, 2, 69
60177, Parkowa, 26, house, between 1951-1980, 85, GreenField Group, 2, 2, 75
60178, Kwiatowa, 88, flat, between 2001-2010, 102, BlueSky Developers, 10, 1, 104
60179, Sloneczna, 99, flat, between 1951-1980, 36, GreenField Group, 5, 3, 215
60180, Lesna, 84, twin, between 1900-1950, 25, BlueSky Developers, 3, 2, 106
60181, Mickiewicza, 81, apartment, between 2011-2020, 135, GreenField Group, 9, 3, 215
60182, Wiosenna, 66, house, between 1900-1950, 166, BlueSky Developers, 9, 4, 232
60183, Ogrodowa, 76, house, between 2011-2020, 120, GreenField Group, 8, 8, 98
60184, Piekna, 42, apartment, between 1900-1950, 200, GreenField Group, 5, 3, 168
60185, lakowa, 97, twin, between 1951-1980, 77, SilverStone Constructions, 3, 3, 226
60186, Koscielna, 23, apartment, between 1981-2000, 167, GoldenGate Builders, 9, 2, 158
60187, Lesna, 51, apartment, between 2001-2010, 55, BlueSky Developers, 7, 7, 285
60188, Sienkiewicza, 49, flat, between 2011-2020, 37, BlueSky Developers, 10, 9, 203
60189, Kwiatowa, 80, flat, between 2021-2024, 3, SilverStone Constructions, 2, 1, 223
60190, Konopna, 99, apartment, between 2001-2010, 49, GoldenGate Builders, 7, 7, 86
60191, Kwiatowa, 58, flat, between 1900-1950, 64, GoldenGate Builders, 7, 5, 150
60192, Wiosenna, 41, flat, between 1981-2000, 188, GoldenGate Builders, 7, 3, 75
60193, Sosnowa, 39, flat, between 1900-1950, 52, GoldenGate Builders, 3, 1, 107
60194, Krotka, 75, house, between 1981-2000, 186, BlueSky Developers, 4, 2, 176
60195, Reymonta, 53, house, between 1900-1950, 156, GoldenGate Builders, 3, 1, 45
60196, Cicha, 98, apartment, between 2001-2010, 34, GreenField Group, 4, 4, 300
60197, Sloneczna, 68, house, between 1951-1980, 185, GreenField Group, 1, 1, 256
60198, Topolowa, 56, twin, between 2001-2010, 200, GreenField Group, 3, 2, 138
60199, Mickiewicza, 80, flat, between 2011-2020, 129, BlueSky Developers, 1, 1, 200
60200, Kwiatowa, 61, house, between 1900-1950, 144, GreenField Group, 2, 2, 33
60201, Konopna, 93, apartment, between 2021-2024, 157, GreenField Group, 10, 3, 144
60202, Mickiewicza, 29, flat, between 2011-2020, 60, BlueSky Developers, 8, 7, 204
60203, Cicha, 30, flat, between 2001-2010, 10, SilverStone Constructions, 8, 7, 111
60204, Krotka, 65, apartment, between 1981-2000, 124, BlueSky Developers, 7, 6, 29
60205, Kwiatowa, 25, house, between 1981-2000, 190, GreenField Group, 6, 1, 6
60206, Konopna, 92, flat, between 1981-2000, 1, GreenField Group, 1, 1, 42
60207, Mickiewicza, 29, twin, between 1981-2000, 189, GreenField Group, 3, 3, 276
60208, Konopna, 81, house, between 1951-1980, 59, BlueSky Developers, 6, 3, 298
60209, Ogrodowa, 37, twin, between 2021-2024, 30, GoldenGate Builders, 2, 1, 80
60210, Wspolna, 85, apartment, between 1951-1980, 90, GoldenGate Builders, 7, 6, 154
60211, Chopina, 55, house, between 2001-2010, 51, SilverStone Constructions, 5, 1, 108
60212, Mickiewicza, 39, twin, between 1981-2000, 48, GreenField Group, 1, 1, 206
60213, Kwiatowa, 78, house, between 2001-2010, 4, SilverStone Constructions, 3, 2, 145
60214, Wesola, 66, flat, between 1900-1950, 189, SilverStone Constructions, 6, 2, 239
60215, Krotka, 25, house, between 2001-2010, 198, BlueSky Developers, 1, 1, 114
60216, Sportowa, 37, twin, between 1981-2000, 192, GoldenGate Builders, 2, 1, 297
60217, Konopna, 86, apartment, between 1900-1950, 189, GoldenGate Builders, 7, 2, 240
60218, Sienkiewicza, 27, flat, between 2021-2024, 37, GoldenGate Builders, 2, 2, 108
60219, Lesna, 22, house, between 2001-2010, 28, SilverStone Constructions, 7, 4, 185
60220, Chopina, 27, apartment, between 1951-1980, 165, SilverStone Constructions, 4, 1, 124
60221, Mickiewicza, 96, apartment, between 1900-1950, 51, SilverStone Constructions, 10, 9, 17
60222, Mickiewicza, 39, apartment, between 1981-2000, 43, GreenField Group, 10, 5, 129
60223, Krotka, 53, twin, between 1951-1980, 135, GreenField Group, 1, 1, 235
60224, Mickiewicza, 22, twin, between 1951-1980, 51, GreenField Group, 3, 2, 17
60225, Kwiatowa, 88, apartment, between 1900-1950, 48, BlueSky Developers, 9, 4, 246
60226, Mickiewicza, 25, flat, between 2001-2010, 98, GoldenGate Builders, 9, 1, 72
60227, Sosnowa, 68, twin, between 2011-2020, 50, GoldenGate Builders, 2, 2, 247
60228, Rzeczna, 82, apartment, between 2021-2024, 14, GoldenGate Builders, 3, 3, 8
60229, Mickiewicza, 66, flat, between 1981-2000, 125, GreenField Group, 6, 3, 101
60230, Piastowska, 50, twin, between 1981-2000, 183, GoldenGate Builders, 3, 1, 208
60231, Sloneczna, 49, house, between 1900-1950, 28, GreenField Group, 1, 1, 238
60232, Sloneczna, 68, flat, between 2011-2020, 67, GreenField Group, 2, 1, 66
60233, Reymonta, 53, house, between 1951-1980, 6, BlueSky Developers, 5, 4, 24
60234, Krucza, 21, flat, between 2001-2010, 193, GoldenGate Builders, 6, 2, 8
60235, Ogrodowa, 37, apartment, between 1981-2000, 151, GreenField Group, 7, 3, 118
60236, Mickiewicza, 70, house, between 2011-2020, 118, GreenField Group, 6, 3, 19
60237, Topolowa, 61, twin, between 2021-2024, 93, GoldenGate Builders, 1, 1, 130
60238, Reymonta, 71, flat, between 1981-2000, 189, GreenField Group, 2, 1, 203
60239, Kwiatowa, 88, flat, between 1900-1950, 176, BlueSky Developers, 1, 1, 248
60240, Ogrodowa, 37, apartment, between 2021-2024, 125, GoldenGate Builders, 3, 2, 49
60241, Ogrodowa, 38, apartment, between 2001-2010, 117, GoldenGate Builders, 3, 2, 94
60242, Cicha, 75, twin, between 2001-2010, 92, GoldenGate Builders, 3, 3, 200
60243, Sloneczna, 53, twin, between 1900-1950, 195, BlueSky Developers, 1, 1, 262
60244, Kwiatowa, 93, twin, between 1900-1950, 18, GreenField Group, 2, 1, 22
60245, Parkowa, 53, apartment, between 2011-2020, 64, GreenField Group, 9, 2, 198
60246, Sosnowa, 66, house, between 2011-2020, 90, GreenField Group, 8, 1, 297
60247, Koscielna, 43, house, between 2011-2020, 93, GreenField Group, 4, 1, 212
60248, lakowa, 89, flat, between 1951-1980, 131, GreenField Group, 9, 5, 71
60249, Ogrodowa, 83, flat, between 2021-2024, 74, SilverStone Constructions, 7, 1, 111
60250, Akacjowa, 34, house, between 1900-1950, 199, SilverStone Constructions, 1, 1, 1
60251, Kwiatowa, 54, twin, between 1981-2000, 135, GoldenGate Builders, 3, 3, 31
60252, Piekna, 65, flat, between 2021-2024, 98, SilverStone Constructions, 9, 2, 79
60253, Piastowska, 31, apartment, between 2021-2024, 50, GreenField Group, 10, 9, 13
60254, Lesna, 31, house, between 2021-2024, 112, BlueSky Developers, 9, 8, 102
60255, Polna, 79, flat, between 1981-2000, 140, BlueSky Developers, 10, 4, 243
60256, Kwiatowa, 51, twin, between 1951-1980, 37, BlueSky Developers, 2, 1, 183
60257, Rzeczna, 95, house, between 1951-1980, 71, SilverStone Constructions, 3, 2, 277
60258, Sloneczna, 47, twin, between 2011-2020, 196, SilverStone Constructions, 1, 1, 106
60259, Mickiewicza, 41, house, between 1951-1980, 183, BlueSky Developers, 2, 2, 185
60260, Mickiewicza, 85, apartment, between 1981-2000, 4, GreenField Group, 9, 3, 288
60261, Kwiatowa, 56, twin, between 2021-2024, 1, BlueSky Developers, 3, 1, 66
60262, Konopna, 71, house, between 2021-2024, 40, GreenField Group, 6, 1, 119
60263, Konopna, 79, apartment, between 2021-2024, 79, SilverStone Constructions, 3, 3, 280
60264, Krotka, 89, flat, between 2001-2010, 16, GreenField Group, 3, 2, 141
60265, Krotka, 61, flat, between 2011-2020, 56, BlueSky Developers, 10, 6, 9
60266, Piekna, 59, twin, between 1951-1980, 73, SilverStone Constructions, 3, 1, 101
60267, Zielona, 78, apartment, between 1981-2000, 133, BlueSky Developers, 5, 3, 254
60268, Piastowska, 36, apartment, between 1951-1980, 81, SilverStone Constructions, 7, 1, 260
60269, Koscielna, 24, twin, between 1900-1950, 52, SilverStone Constructions, 1, 1, 164
60270, Piastowska, 51, flat, between 1951-1980, 46, SilverStone Constructions, 8, 6, 185
60271, Wiosenna, 82, twin, between 2021-2024, 17, GreenField Group, 1, 1, 159
60272, Aleja Lipowa, 61, house, between 1981-2000, 161, SilverStone Constructions, 9, 4, 171
60273, Wiosenna, 83, house, between 2001-2010, 78, GreenField Group, 7, 1, 295
60274, Mickiewicza, 64, apartment, between 1951-1980, 71, GoldenGate Builders, 6, 4, 128
60275, Zielona, 45, flat, between 2001-2010, 149, GreenField Group, 6, 2, 153
60276, Spacerowa, 92, flat, between 1900-1950, 12, GoldenGate Builders, 4, 2, 286
60277, Sloneczna, 29, flat, between 1951-1980, 89, SilverStone Constructions, 6, 3, 226
60278, Ogrodowa, 43, flat, between 2011-2020, 171, GreenField Group, 2, 1, 78
60279, Slowackiego, 31, house, between 2001-2010, 154, GoldenGate Builders, 10, 4, 82
60280, Topolowa, 24, flat, between 2011-2020, 200, GoldenGate Builders, 5, 4, 174
60281, Krucza, 56, twin, between 2001-2010, 75, SilverStone Constructions, 3, 3, 248
60282, Sportowa, 80, flat, between 2001-2010, 35, GoldenGate Builders, 5, 1, 282
60283, Wiosenna, 90, twin, between 1900-1950, 85, SilverStone Constructions, 3, 2, 113
60284, Kwiatowa, 32, twin, between 1981-2000, 174, GreenField Group, 2, 2, 237
60285, Mickiewicza, 23, apartment, between 2021-2024, 130, GoldenGate Builders, 7, 6, 191
60286, Ogrodowa, 61, apartment, between 1951-1980, 106, SilverStone Constructions, 7, 4, 250
60287, Kwiatowa, 57, flat, between 2001-2010, 176, SilverStone Constructions, 6, 4, 190
60288, Wspolna, 20, twin, between 1981-2000, 181, SilverStone Constructions, 1, 1, 298
60289, Brzozowa, 82, flat, between 1900-1950, 7, GoldenGate Builders, 5, 4, 136
60290, Piastowska, 65, flat, between 1981-2000, 15, GoldenGate Builders, 7, 2, 58
60291, Koscielna, 28, flat, between 2011-2020, 169, GreenField Group, 7, 3, 16
60292, Ogrodowa, 25, flat, between 2011-2020, 134, GreenField Group, 5, 5, 227
60293, Topolowa, 49, apartment, between 1900-1950, 64, GoldenGate Builders, 4, 4, 257
60294, Zielona, 67, twin, between 1981-2000, 102, SilverStone Constructions, 3, 2, 7
60295, Mickiewicza, 88, house, between 1951-1980, 152, GreenField Group, 5, 1, 59
60296, Spacerowa, 28, apartment, between 2011-2020, 151, GoldenGate Builders, 5, 1, 191
60297, Kwiatowa, 25, twin, between 2011-2020, 48, SilverStone Constructions, 1, 1, 108
60298, Krotka, 82, twin, between 2021-2024, 61, SilverStone Constructions, 3, 3, 253
60299, Mickiewicza, 80, apartment, between 2001-2010, 124, SilverStone Constructions, 4, 2, 186
60300, Mickiewicza, 52, flat, between 2001-2010, 96, GoldenGate Builders, 5, 5, 105
60301, Krucza, 46, apartment, between 1900-1950, 68, GreenField Group, 9, 7, 6
60302, Reymonta, 90, twin, between 2011-2020, 125, GreenField Group, 2, 1, 29
60303, Wiosenna, 76, apartment, between 2001-2010, 18, GoldenGate Builders, 5, 2, 240
60304, Sloneczna, 29, twin, between 2001-2010, 79, GreenField Group, 1, 1, 297
60305, Lesna, 79, twin, between 2001-2010, 22, GoldenGate Builders, 3, 2, 132
60306, Kwiatowa, 93, twin, between 2021-2024, 171, GreenField Group, 1, 1, 292
60307, Brzozowa, 88, twin, between 1981-2000, 13, GreenField Group, 2, 2, 111
60308, Sosnowa, 92, twin, between 1981-2000, 170, GoldenGate Builders, 1, 1, 39
60309, Topolowa, 27, flat, between 1951-1980, 116, GoldenGate Builders, 9, 1, 225
60310, Wiosenna, 81, apartment, between 2011-2020, 162, GreenField Group, 9, 8, 140
60311, Piastowska, 33, house, between 2011-2020, 130, GreenField Group, 9, 1, 97
60312, Piastowska, 28, flat, between 1981-2000, 102, GreenField Group, 8, 2, 257
